,Logistic_Regression,Neural_Network
accuracy,0.8625592417061612,0.9952606558799744
auc,,0.9998932480812073
f1_score,0.7972027972027972,
loss,,0.018034042790532112
precision,0.7916666666666666,0.9929824471473694
recall,0.8028169014084507,0.9929824471473694
val_accuracy,,0.8767772316932678
val_auc,,0.9122232794761658
val_loss,,1.035333275794983
val_precision,,0.8358209133148193
val_recall,,0.7887324094772339
validation_accuracy,,0.8767772316932678
validation_auc,,0.9122232794761658
validation_loss,,1.035333275794983
validation_precision,,0.8358209133148193
validation_recall,,0.7887324094772339
